TEDIS PHARMA CI;;;STATISTIQUES LABORATOIRE ECLATEES PAR CLIENT
Votre partenaire Santé;;;INOX PHARMA - CROIENT PHARMA

CIP;Désignation du produit;Client;Mai-26;Avr.-26;Mar.-26;Fév.-26;Jan.-26;Déc.-25
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;SAINT JACQUES - BOUAKE;1;0;0;2;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;SAINT JOSEPH;0;0;0;0;0;1
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;SAINTE ROSALIE;1;1;1;3;2;1
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;SALEM;0;2;0;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;SANMIEN DE NATIO;0;0;0;0;1;1
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;SANTE PLUS WILLIAMSVILLE;0;0;0;0;0;4
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;ST BERNARD BAKAYO;0;2;0;1;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;ST FRANCOIS D ASSISE;0;0;0;0;4;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;ST PAUL D AKROMIABLA;0;0;0;0;0;1
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;STE HELENE MAFERE;0;5;0;5;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;STE MARIE -TIASSALE;29;40;37;32;28;36
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;STE VERONIQUE;1;0;0;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;VALENTINE AYA SARL-U;0;0;1;1;0;1
5934933;ANOCURE 40MG/320MG CPR B/12;AKRE ALBERT;0;5;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;BELLE VILLE JEAN FOLLY SARLU;0;1;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;DE L ARCHANGE -SAN PEDRO;0;0;1;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;DE PARA;0;0;10;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;DE YAMOUSSOUKRO;0;0;1;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;DU BOULEVARD CARDE;0;0;1;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;DU NORD;1;1;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;FADYL SARL U;0;0;1;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;FOTAMANA;0;3;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;GRACE DE DIEU DE SEGUELA;0;0;1;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;INOX SARL U;0;0;10;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;KORO;0;2;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;LA PAIX;1;0;0;0;0;0
5934933;ANOCURE 40MG/320MG CPR B/12;PRINCIPALE - KORHOGO;0;2;0;0;0;0
